scenario_cls,AdoptingPolicyCls,BasePolicyCls,PolicyCls,outcome_type,as_group,outcome,percent_adopt,propagation_round,value,yerr,scenario_config_label
AccidentalRouteLeak,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
AccidentalRouteLeak,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
AccidentalRouteLeak,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
AccidentalRouteLeak,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,99.2321353949018,0.0,
AccidentalRouteLeak,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,100.0,0.0,
AccidentalRouteLeak,ROVFull,BGP,Policy,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0,99.23216547617493,0.0,
AccidentalRouteLeak,ROVFull,BGP,BGP,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.7678646050982031,0.0,
AccidentalRouteLeak,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.0,0.0,
AccidentalRouteLeak,ROVFull,BGP,Policy,DATA,all_wout_ixps,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0,0.7678345238250696,0.0,
AccidentalRouteLeak,ROVFull,BGP,BGP,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,1,0.0,0.0,
AccidentalRouteLeak,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,1,0.0,0.0,
AccidentalRouteLeak,ROVFull,BGP,Policy,DATA,all_wout_ixps,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,1,0.0,0.0,
AccidentalRouteLeak,ROVFull,BGP,BGP,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,1,99.2321353949018,0.0,
AccidentalRouteLeak,ROVFull,BGP,ROVFull,DATA,all_wout_ixps,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,1,100.0,0.0,
